_id,Name,Date,Month,Year,WaterDataFront,WaterDataBack,WaterDrainRate
655dab929aca5f2a9a6ea3a1,Huana,1,1,2016,115,148,132
655dab929aca5f2a9a6ea3a2,Huana,2,1,2016,187,151,132
655dab929aca5f2a9a6ea3a3,Huana,3,1,2016,116,165,118
655dab929aca5f2a9a6ea3a4,Huana,4,1,2016,154,174,114
655dab929aca5f2a9a6ea3a5,Huana,5,1,2016,179,90,126
655dab929aca5f2a9a6ea3a6,Huana,6,1,2016,104,123,130
655dab929aca5f2a9a6ea3a7,Huana,7,1,2016,130,170,120
655dab929aca5f2a9a6ea3a8,Huana,8,1,2016,163,158,110
655dab929aca5f2a9a6ea3a9,Huana,9,1,2016,173,178,128
655dab929aca5f2a9a6ea3aa,Huana,10,1,2016,121,99,148
655dab929aca5f2a9a6ea3ab,Huana,11,1,2016,142,147,92
655dab929aca5f2a9a6ea3ac,Huana,12,1,2016,179,171,130
655dab929aca5f2a9a6ea3ad,Huana,13,1,2016,162,134,104
655dab929aca5f2a9a6ea3ae,Huana,14,1,2016,160,154,122
655dab929aca5f2a9a6ea3af,Huana,15,1,2016,199,170,104
655dab929aca5f2a9a6ea3b0,Huana,16,1,2016,147,160,142
655dab929aca5f2a9a6ea3b1,Huana,17,1,2016,154,130,94
655dab929aca5f2a9a6ea3b2,Huana,18,1,2016,140,112,94
655dab929aca5f2a9a6ea3b3,Huana,19,1,2016,112,110,90
655dab929aca5f2a9a6ea3b4,Huana,20,1,2016,194,133,118
655dab929aca5f2a9a6ea3b5,Huana,21,1,2016,141,133,142
655dab929aca5f2a9a6ea3b6,Huana,22,1,2016,161,139,128
655dab929aca5f2a9a6ea3b7,Huana,23,1,2016,116,115,102
655dab929aca5f2a9a6ea3b8,Huana,24,1,2016,198,104,116
655dab929aca5f2a9a6ea3b9,Huana,25,1,2016,152,152,96
655dab929aca5f2a9a6ea3ba,Huana,26,1,2016,187,159,126
655dab929aca5f2a9a6ea3bb,Huana,27,1,2016,135,95,130
655dab929aca5f2a9a6ea3bc,Huana,28,1,2016,114,171,126
655dab929aca5f2a9a6ea3bd,Huana,29,1,2016,170,133,134
655dab929aca5f2a9a6ea3be,Huana,30,1,2016,158,104,146
655dab929aca5f2a9a6ea3bf,Huana,31,1,2016,142,141,124
655dab929aca5f2a9a6ea3c0,Huana,1,2,2016,125,154,126
655dab929aca5f2a9a6ea3c1,Huana,2,2,2016,180,94,148
655dab929aca5f2a9a6ea3c2,Huana,3,2,2016,193,149,90
655dab929aca5f2a9a6ea3c3,Huana,4,2,2016,195,142,98
655dab929aca5f2a9a6ea3c4,Huana,5,2,2016,151,157,104
655dab929aca5f2a9a6ea3c5,Huana,6,2,2016,120,150,92
655dab929aca5f2a9a6ea3c6,Huana,7,2,2016,189,129,124
655dab929aca5f2a9a6ea3c7,Huana,8,2,2016,122,117,104
655dab929aca5f2a9a6ea3c8,Huana,9,2,2016,100,147,128
655dab929aca5f2a9a6ea3c9,Huana,10,2,2016,144,117,126
655dab929aca5f2a9a6ea3ca,Huana,11,2,2016,189,97,102
655dab929aca5f2a9a6ea3cb,Huana,12,2,2016,157,102,146
655dab929aca5f2a9a6ea3cc,Huana,13,2,2016,105,125,122
655dab929aca5f2a9a6ea3cd,Huana,14,2,2016,156,174,144
655dab929aca5f2a9a6ea3ce,Huana,15,2,2016,158,91,120
655dab929aca5f2a9a6ea3cf,Huana,16,2,2016,148,114,90
655dab929aca5f2a9a6ea3d0,Huana,17,2,2016,133,119,120
655dab929aca5f2a9a6ea3d1,Huana,18,2,2016,146,162,94
655dab929aca5f2a9a6ea3d2,Huana,19,2,2016,108,132,90
655dab929aca5f2a9a6ea3d3,Huana,20,2,2016,107,172,144
655dab929aca5f2a9a6ea3d4,Huana,21,2,2016,112,165,104
655dab929aca5f2a9a6ea3d5,Huana,22,2,2016,167,160,130
655dab929aca5f2a9a6ea3d6,Huana,23,2,2016,113,91,106
655dab929aca5f2a9a6ea3d7,Huana,24,2,2016,156,101,94
655dab929aca5f2a9a6ea3d8,Huana,25,2,2016,194,99,94
655dab929aca5f2a9a6ea3d9,Huana,26,2,2016,145,134,122
655dab929aca5f2a9a6ea3da,Huana,27,2,2016,193,100,122
655dab929aca5f2a9a6ea3db,Huana,28,2,2016,141,107,144
655dab929aca5f2a9a6ea3dc,Huana,29,2,2016,148,115,126
655dab929aca5f2a9a6ea3dd,Huana,1,3,2016,113,125,90
655dab929aca5f2a9a6ea3de,Huana,2,3,2016,109,134,114
655dab929aca5f2a9a6ea3df,Huana,3,3,2016,153,151,120
655dab929aca5f2a9a6ea3e0,Huana,4,3,2016,105,95,90
655dab929aca5f2a9a6ea3e1,Huana,5,3,2016,136,163,134
655dab929aca5f2a9a6ea3e2,Huana,6,3,2016,197,157,98
655dab929aca5f2a9a6ea3e3,Huana,7,3,2016,114,107,132
655dab929aca5f2a9a6ea3e4,Huana,8,3,2016,161,146,118
655dab929aca5f2a9a6ea3e5,Huana,9,3,2016,104,107,136
655dab929aca5f2a9a6ea3e6,Huana,10,3,2016,196,144,100
655dab929aca5f2a9a6ea3e7,Huana,11,3,2016,102,114,120
655dab929aca5f2a9a6ea3e8,Huana,12,3,2016,112,174,110
655dab929aca5f2a9a6ea3e9,Huana,13,3,2016,150,174,90
655dab929aca5f2a9a6ea3ea,Huana,14,3,2016,194,157,90
655dab929aca5f2a9a6ea3eb,Huana,15,3,2016,165,138,132
655dab929aca5f2a9a6ea3ec,Huana,16,3,2016,187,149,112
655dab929aca5f2a9a6ea3ed,Huana,17,3,2016,198,165,142
655dab929aca5f2a9a6ea3ee,Huana,18,3,2016,106,161,136
655dab929aca5f2a9a6ea3ef,Huana,19,3,2016,158,143,100
655dab929aca5f2a9a6ea3f0,Huana,20,3,2016,114,100,144
655dab929aca5f2a9a6ea3f1,Huana,21,3,2016,116,167,144
655dab929aca5f2a9a6ea3f2,Huana,22,3,2016,128,98,146
655dab929aca5f2a9a6ea3f3,Huana,23,3,2016,131,164,110
